"subject" "LAYING" "SITTING" "STANDING" "WALKING" "WALKING_DOWNSTAIRS" "WALKING_UPSTAIRS"
"1" -0.647514215684589 -0.687054248382639 -0.714645901588575 -0.196002515391121 -0.159762696889821 -0.308922413062357
"2" -0.705949621350442 -0.699988798501493 -0.703467304328912 -0.316062690313191 -0.11316341998773 -0.266103957218041
"3" -0.696723911249929 -0.671332669373404 -0.676882403461674 -0.307163411305944 -0.234646231198653 -0.3487826134857
"4" -0.692118101491318 -0.680925784608304 -0.669364811327238 -0.379079879192465 -0.282272396219049 -0.330589995136553
"5" -0.702458113742689 -0.68119665340948 -0.662333019112027 -0.283922892509434 -0.157663885800875 -0.243153342388888
"6" -0.679891023144537 -0.680244768972577 -0.687461166268375 -0.231064654749074 -0.0219029807428099 -0.192166315469212
"7" -0.687922118423644 -0.675978972097398 -0.689463184482363 -0.186823898754375 -0.173527590110508 -0.353535827279577
"8" -0.686409976345575 -0.689734667556906 -0.698539499188012 -0.163131382797009 -0.0204382101268606 -0.150972133688224
"9" -0.692518804878604 -0.668725246207403 -0.682874560521953 -0.280218632968414 -0.169093104804159 -0.341700282995804
"10" -0.718941546678757 -0.699915207730803 -0.685194896045167 -0.205235572769167 -0.12076439489633 -0.213790364432775
"11" -0.701733101826103 -0.692349957127094 -0.709761477370593 -0.364348025381191 -0.222680349583604 -0.360321618766124
"12" -0.691896517283483 -0.690818321212539 -0.684150949076675 -0.254204739407625 -0.184693603434995 -0.34320675124747
"13" -0.693767368630656 -0.697665682770085 -0.705919272898883 -0.2106294386163 -0.179167650973068 -0.322113681741129
"14" -0.670502191192638 -0.693652465885698 -0.698522236752389 -0.280707528677888 -0.00695822318837817 -0.114441262680143
"15" -0.696266195289583 -0.69617546335676 -0.696950904516118 -0.298658660890952 -0.123691470283525 -0.291778734643129
"16" -0.706804388973833 -0.697518650311205 -0.70745167361115 -0.3696552847629 -0.219615401934043 -0.368696494993402
"17" -0.693701578621955 -0.709769396074995 -0.716884952372775 -0.299829213045571 -0.238479430362792 -0.298708750583241
"18" -0.708037608872802 -0.705401708526813 -0.707474295214635 -0.38200366918817 -0.365020264784405 -0.409564679936182
"19" -0.705709621495372 -0.689824683258845 -0.698655833225789 -0.0843011714384273 0.117381358334269 -0.200841188419461
"20" -0.701072086703304 -0.688908284072733 -0.669005536131141 -0.105698955460932 -0.0523632610143154 -0.20764115299699
"21" -0.691827450627756 -0.705747265542613 -0.704862476484148 -0.235145531327288 -0.14816448994593 -0.293544753043065
"22" -0.68217671299319 -0.682420673193582 -0.690576823667828 -0.161858747396211 -0.158006859823431 -0.194934229299394
"23" -0.701566301245953 -0.689068176945948 -0.699263275439394 -0.111431700643197 -0.0288896254240643 -0.257785430267771
"24" -0.700948383397086 -0.699120406367581 -0.697889744501016 -0.345425421233091 -0.239448622917595 -0.351499379708591
"25" -0.627325383972031 -0.699415387368753 -0.701774673092203 -0.400788238728684 -0.334714737523161 -0.417174228942354
"26" -0.707691052798611 -0.694173442271767 -0.70305736728986 -0.307898889331005 -0.177606523946319 -0.323287107996134
"27" -0.70961147266288 -0.700116768811336 -0.706689715651427 -0.305482504014248 -0.188593360989565 -0.356505359118318
"28" -0.716147727721236 -0.694115805519142 -0.677277583703027 -0.304814659556585 -0.148865860621899 -0.315700796217368
"29" -0.708907810010758 -0.700564318228971 -0.709134815309954 -0.251645815482344 -0.18152021010862 -0.228176239492632
"30" -0.696256270015812 -0.69389692311211 -0.678279135071274 -0.259481099908769 -0.214419989933432 -0.324394988721844
