"subject" "activitylabel" "activityMean"
1 "LAYING" -0.647514215684589
1 "SITTING" -0.687054248382639
1 "STANDING" -0.714645901588575
1 "WALKING" -0.196002515391121
1 "WALKING_DOWNSTAIRS" -0.159762696889821
1 "WALKING_UPSTAIRS" -0.308922413062357
2 "LAYING" -0.705949621350442
2 "SITTING" -0.699988798501493
2 "STANDING" -0.703467304328912
2 "WALKING" -0.316062690313191
2 "WALKING_DOWNSTAIRS" -0.11316341998773
2 "WALKING_UPSTAIRS" -0.266103957218041
3 "LAYING" -0.696723911249929
3 "SITTING" -0.671332669373404
3 "STANDING" -0.676882403461674
3 "WALKING" -0.307163411305944
3 "WALKING_DOWNSTAIRS" -0.234646231198653
3 "WALKING_UPSTAIRS" -0.3487826134857
4 "LAYING" -0.692118101491318
4 "SITTING" -0.680925784608304
4 "STANDING" -0.669364811327238
4 "WALKING" -0.379079879192465
4 "WALKING_DOWNSTAIRS" -0.282272396219049
4 "WALKING_UPSTAIRS" -0.330589995136553
5 "LAYING" -0.702458113742689
5 "SITTING" -0.68119665340948
5 "STANDING" -0.662333019112027
5 "WALKING" -0.283922892509434
5 "WALKING_DOWNSTAIRS" -0.157663885800875
5 "WALKING_UPSTAIRS" -0.243153342388888
6 "LAYING" -0.679891023144537
6 "SITTING" -0.680244768972577
6 "STANDING" -0.687461166268375
6 "WALKING" -0.231064654749074
6 "WALKING_DOWNSTAIRS" -0.0219029807428099
6 "WALKING_UPSTAIRS" -0.192166315469212
7 "LAYING" -0.687922118423644
7 "SITTING" -0.675978972097398
7 "STANDING" -0.689463184482363
7 "WALKING" -0.186823898754375
7 "WALKING_DOWNSTAIRS" -0.173527590110508
7 "WALKING_UPSTAIRS" -0.353535827279577
8 "LAYING" -0.686409976345575
8 "SITTING" -0.689734667556906
8 "STANDING" -0.698539499188012
8 "WALKING" -0.163131382797009
8 "WALKING_DOWNSTAIRS" -0.0204382101268606
8 "WALKING_UPSTAIRS" -0.150972133688224
9 "LAYING" -0.692518804878604
9 "SITTING" -0.668725246207403
9 "STANDING" -0.682874560521953
9 "WALKING" -0.280218632968414
9 "WALKING_DOWNSTAIRS" -0.169093104804159
9 "WALKING_UPSTAIRS" -0.341700282995804
10 "LAYING" -0.718941546678757
10 "SITTING" -0.699915207730803
10 "STANDING" -0.685194896045167
10 "WALKING" -0.205235572769167
10 "WALKING_DOWNSTAIRS" -0.12076439489633
10 "WALKING_UPSTAIRS" -0.213790364432775
11 "LAYING" -0.701733101826103
11 "SITTING" -0.692349957127094
11 "STANDING" -0.709761477370593
11 "WALKING" -0.364348025381191
11 "WALKING_DOWNSTAIRS" -0.222680349583604
11 "WALKING_UPSTAIRS" -0.360321618766124
12 "LAYING" -0.691896517283483
12 "SITTING" -0.690818321212539
12 "STANDING" -0.684150949076675
12 "WALKING" -0.254204739407625
12 "WALKING_DOWNSTAIRS" -0.184693603434995
12 "WALKING_UPSTAIRS" -0.34320675124747
13 "LAYING" -0.693767368630656
13 "SITTING" -0.697665682770085
13 "STANDING" -0.705919272898883
13 "WALKING" -0.2106294386163
13 "WALKING_DOWNSTAIRS" -0.179167650973068
13 "WALKING_UPSTAIRS" -0.322113681741129
14 "LAYING" -0.670502191192638
14 "SITTING" -0.693652465885698
14 "STANDING" -0.698522236752389
14 "WALKING" -0.280707528677888
14 "WALKING_DOWNSTAIRS" -0.00695822318837817
14 "WALKING_UPSTAIRS" -0.114441262680143
15 "LAYING" -0.696266195289583
15 "SITTING" -0.69617546335676
15 "STANDING" -0.696950904516118
15 "WALKING" -0.298658660890952
15 "WALKING_DOWNSTAIRS" -0.123691470283525
15 "WALKING_UPSTAIRS" -0.291778734643129
16 "LAYING" -0.706804388973833
16 "SITTING" -0.697518650311205
16 "STANDING" -0.70745167361115
16 "WALKING" -0.3696552847629
16 "WALKING_DOWNSTAIRS" -0.219615401934043
16 "WALKING_UPSTAIRS" -0.368696494993402
17 "LAYING" -0.693701578621955
17 "SITTING" -0.709769396074995
17 "STANDING" -0.716884952372775
17 "WALKING" -0.299829213045571
17 "WALKING_DOWNSTAIRS" -0.238479430362792
17 "WALKING_UPSTAIRS" -0.298708750583241
18 "LAYING" -0.708037608872802
18 "SITTING" -0.705401708526813
18 "STANDING" -0.707474295214635
18 "WALKING" -0.38200366918817
18 "WALKING_DOWNSTAIRS" -0.365020264784405
18 "WALKING_UPSTAIRS" -0.409564679936182
19 "LAYING" -0.705709621495372
19 "SITTING" -0.689824683258845
19 "STANDING" -0.698655833225789
19 "WALKING" -0.0843011714384273
19 "WALKING_DOWNSTAIRS" 0.117381358334269
19 "WALKING_UPSTAIRS" -0.200841188419461
20 "LAYING" -0.701072086703304
20 "SITTING" -0.688908284072733
20 "STANDING" -0.669005536131141
20 "WALKING" -0.105698955460932
20 "WALKING_DOWNSTAIRS" -0.0523632610143154
20 "WALKING_UPSTAIRS" -0.20764115299699
21 "LAYING" -0.691827450627756
21 "SITTING" -0.705747265542613
21 "STANDING" -0.704862476484148
21 "WALKING" -0.235145531327288
21 "WALKING_DOWNSTAIRS" -0.14816448994593
21 "WALKING_UPSTAIRS" -0.293544753043065
22 "LAYING" -0.68217671299319
22 "SITTING" -0.682420673193582
22 "STANDING" -0.690576823667828
22 "WALKING" -0.161858747396211
22 "WALKING_DOWNSTAIRS" -0.158006859823431
22 "WALKING_UPSTAIRS" -0.194934229299394
23 "LAYING" -0.701566301245953
23 "SITTING" -0.689068176945948
23 "STANDING" -0.699263275439394
23 "WALKING" -0.111431700643197
23 "WALKING_DOWNSTAIRS" -0.0288896254240643
23 "WALKING_UPSTAIRS" -0.257785430267771
24 "LAYING" -0.700948383397086
24 "SITTING" -0.699120406367581
24 "STANDING" -0.697889744501016
24 "WALKING" -0.345425421233091
24 "WALKING_DOWNSTAIRS" -0.239448622917595
24 "WALKING_UPSTAIRS" -0.351499379708591
25 "LAYING" -0.627325383972031
25 "SITTING" -0.699415387368753
25 "STANDING" -0.701774673092203
25 "WALKING" -0.400788238728684
25 "WALKING_DOWNSTAIRS" -0.334714737523161
25 "WALKING_UPSTAIRS" -0.417174228942354
26 "LAYING" -0.707691052798611
26 "SITTING" -0.694173442271767
26 "STANDING" -0.70305736728986
26 "WALKING" -0.307898889331005
26 "WALKING_DOWNSTAIRS" -0.177606523946319
26 "WALKING_UPSTAIRS" -0.323287107996134
27 "LAYING" -0.70961147266288
27 "SITTING" -0.700116768811336
27 "STANDING" -0.706689715651427
27 "WALKING" -0.305482504014248
27 "WALKING_DOWNSTAIRS" -0.188593360989565
27 "WALKING_UPSTAIRS" -0.356505359118318
28 "LAYING" -0.716147727721236
28 "SITTING" -0.694115805519142
28 "STANDING" -0.677277583703027
28 "WALKING" -0.304814659556585
28 "WALKING_DOWNSTAIRS" -0.148865860621899
28 "WALKING_UPSTAIRS" -0.315700796217368
29 "LAYING" -0.708907810010758
29 "SITTING" -0.700564318228971
29 "STANDING" -0.709134815309954
29 "WALKING" -0.251645815482344
29 "WALKING_DOWNSTAIRS" -0.18152021010862
29 "WALKING_UPSTAIRS" -0.228176239492632
30 "LAYING" -0.696256270015812
30 "SITTING" -0.69389692311211
30 "STANDING" -0.678279135071274
30 "WALKING" -0.259481099908769
30 "WALKING_DOWNSTAIRS" -0.214419989933432
30 "WALKING_UPSTAIRS" -0.324394988721844
